subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob,datetime
3emq35yzdng,man,28,18,60to80k,4,97,3,4,L2,3,10,90,2021-12-13 21:48:41.350317
3emq35yzdng,man,28,18,60to80k,4,97,3,5,L10,1,30,70,2021-12-13 21:48:41.350317
3emq35yzdng,man,28,18,60to80k,4,97,3,6,G5,4,50,50,2021-12-13 21:48:41.350317
3emq35yzdng,man,28,18,60to80k,4,97,3,7,G1,0,50,50,2021-12-13 21:48:41.350317
3emq35yzdng,man,28,18,60to80k,4,97,3,8,G9,4,50,50,2021-12-13 21:48:41.350317
3emq35yzdng,man,28,18,60to80k,4,97,3,9,G2,3,80,20,2021-12-13 21:48:41.350317
3emq35yzdng,man,28,18,60to80k,4,97,3,10,G11,3,50,50,2021-12-13 21:48:41.350317
tywo35yz7o5,woman,47,16,>100k,4,96,4,1,G2,3,40,60,2021-12-13 21:04:59.700393
tywo35yz7o5,woman,47,16,>100k,4,96,4,2,L1,1,30,70,2021-12-13 21:04:59.700393
tywo35yz7o5,woman,47,16,>100k,4,96,4,3,G11,0,50,50,2021-12-13 21:04:59.700393
tywo35yz7o5,woman,47,16,>100k,4,96,4,4,G9,0,55,45,2021-12-13 21:04:59.700393
tywo35yz7o5,woman,47,16,>100k,4,96,4,5,L5,0,25,75,2021-12-13 21:04:59.700393
tywo35yz7o5,woman,47,16,>100k,4,96,4,6,G1,2,10,90,2021-12-13 21:04:59.700393
tywo35yz7o5,woman,47,16,>100k,4,96,4,7,L11,1,35,65,2021-12-13 21:04:59.700393
tywo35yz7o5,woman,47,16,>100k,4,96,4,8,L10,2,20,80,2021-12-13 21:04:59.700393
tywo35yz7o5,woman,47,16,>100k,4,96,4,9,L2,3,5,95,2021-12-13 21:04:59.700393
tywo35yz7o5,woman,47,16,>100k,4,96,4,10,G5,0,65,35,2021-12-13 21:04:59.700393
h7jp35yz2h7,man,31,14,20to40k,3,80,20,1,L2,3,40,60,2021-12-13 21:12:57.460280
h7jp35yz2h7,man,31,14,20to40k,3,80,20,2,G5,4,50,50,2021-12-13 21:12:57.460280
h7jp35yz2h7,man,31,14,20to40k,3,80,20,3,G1,4,50,50,2021-12-13 21:12:57.460280
h7jp35yz2h7,man,31,14,20to40k,3,80,20,4,G11,4,50,50,2021-12-13 21:12:57.460280
h7jp35yz2h7,man,31,14,20to40k,3,80,20,5,G2,2,35,65,2021-12-13 21:12:57.460280
h7jp35yz2h7,man,31,14,20to40k,3,80,20,6,L5,4,50,50,2021-12-13 21:12:57.460280
h7jp35yz2h7,man,31,14,20to40k,3,80,20,7,L10,3,25,75,2021-12-13 21:12:57.460280
h7jp35yz2h7,man,31,14,20to40k,3,80,20,8,L1,2,30,70,2021-12-13 21:12:57.460280
h7jp35yz2h7,man,31,14,20to40k,3,80,20,9,L11,3,35,65,2021-12-13 21:12:57.460280
h7jp35yz2h7,man,31,14,20to40k,3,80,20,10,G9,1,60,40,2021-12-13 21:12:57.460280
q3fw35yz807,woman,37,16,80to100k,4,95,5,1,L1,2,50,50,2021-12-13 21:06:48.151423
q3fw35yz807,woman,37,16,80to100k,4,95,5,2,L2,1,50,50,2021-12-13 21:06:48.151423
q3fw35yz807,woman,37,16,80to100k,4,95,5,3,L10,1,56,44,2021-12-13 21:06:48.151423
