subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob
s5wg35yzdfv,man,25,17,<20k,4,100,0,4,G5,3,50,50
s5wg35yzdfv,man,25,17,<20k,4,100,0,5,G1,3,1,99
s5wg35yzdfv,man,25,17,<20k,4,100,0,6,G9,3,50,50
s5wg35yzdfv,man,25,17,<20k,4,100,0,7,L2,3,65,35
s5wg35yzdfv,man,25,17,<20k,4,100,0,8,L10,1,17,83
s5wg35yzdfv,man,25,17,<20k,4,100,0,9,L1,2,1,99
s5wg35yzdfv,man,25,17,<20k,4,100,0,10,L5,2,50,50
pvxs35yzu0c,woman,46,16,>100k,3,96,4,1,G9,3,50,50
pvxs35yzu0c,woman,46,16,>100k,3,96,4,2,G5,3,87,13
pvxs35yzu0c,woman,46,16,>100k,3,96,4,3,G2,2,49,51
pvxs35yzu0c,woman,46,16,>100k,3,96,4,4,G1,2,44,56
pvxs35yzu0c,woman,46,16,>100k,3,96,4,5,L11,2,55,45
pvxs35yzu0c,woman,46,16,>100k,3,96,4,6,G11,3,50,50
pvxs35yzu0c,woman,46,16,>100k,3,96,4,7,L10,2,66,34
pvxs35yzu0c,woman,46,16,>100k,3,96,4,8,L2,2,52,48
pvxs35yzu0c,woman,46,16,>100k,3,96,4,9,L5,1,60,40
pvxs35yzu0c,woman,46,16,>100k,3,96,4,10,L1,0,51,49
fpji35yzo6i,man,23,16,<20k,3,82,18,1,L5,3,49,51
fpji35yzo6i,man,23,16,<20k,3,82,18,2,G9,2,49,51
fpji35yzo6i,man,23,16,<20k,3,82,18,3,L11,2,25,75
fpji35yzo6i,man,23,16,<20k,3,82,18,4,L1,2,51,49
fpji35yzo6i,man,23,16,<20k,3,82,18,5,G2,3,70,30
fpji35yzo6i,man,23,16,<20k,3,82,18,6,G11,3,50,50
fpji35yzo6i,man,23,16,<20k,3,82,18,7,L10,2,68,32
fpji35yzo6i,man,23,16,<20k,3,82,18,8,G5,3,84,16
fpji35yzo6i,man,23,16,<20k,3,82,18,9,G1,1,25,75
fpji35yzo6i,man,23,16,<20k,3,82,18,10,L2,2,27,73
1f2v35yz98m,woman,51,16,20to40k,3,90,10,1,G5,2,75,25
1f2v35yz98m,woman,51,16,20to40k,3,90,10,2,G9,3,50,50
1f2v35yz98m,woman,51,16,20to40k,3,90,10,3,G1,3,50,50
1f2v35yz98m,woman,51,16,20to40k,3,90,10,4,G2,3,50,50
1f2v35yz98m,woman,51,16,20to40k,3,90,10,5,G11,3,50,50
1f2v35yz98m,woman,51,16,20to40k,3,90,10,6,L11,2,60,40
1f2v35yz98m,woman,51,16,20to40k,3,90,10,7,L5,3,50,50
1f2v35yz98m,woman,51,16,20to40k,3,90,10,8,L2,3,50,50
1f2v35yz98m,woman,51,16,20to40k,3,90,10,9,L10,2,40,60
1f2v35yz98m,woman,51,16,20to40k,3,90,10,10,L1,3,50,50
1bgs35yz1fw,man,37,14,20to40k,4,91,9,1,G11,3,50,50
1bgs35yz1fw,man,37,14,20to40k,4,91,9,2,L1,3,50,50
1bgs35yz1fw,man,37,14,20to40k,4,91,9,3,G2,2,32,68
1bgs35yz1fw,man,37,14,20to40k,4,91,9,4,G5,2,50,50
1bgs35yz1fw,man,37,14,20to40k,4,91,9,5,L10,1,27,73
1bgs35yz1fw,man,37,14,20to40k,4,91,9,6,G1,3,50,50
1bgs35yz1fw,man,37,14,20to40k,4,91,9,7,L2,3,18,82
1bgs35yz1fw,man,37,14,20to40k,4,91,9,8,G9,1,50,50
1bgs35yz1fw,man,37,14,20to40k,4,91,9,9,L11,2,17,83
1bgs35yz1fw,man,37,14,20to40k,4,91,9,10,L5,1,50,50
igaf35yzhuy,woman,41,15,40to60K,4,95,5,1,G2,1,50,50
